Title,Link,Views,Duration 
,,,
Deepali Oroskar | Digital Marketing with MICA | upGrad Testimonial | EP 01 of 365,https://www.youtube.com/watch?v=X-de_i_Z-Gk,59,0:59
"ETL (Extract, Transform, Load) in Data-warehouse | What is ETL? | ETL vs ELT | ETL Tutorial | #etl",https://www.youtube.com/watch?v=G6Ik6gLUBQc,77,9:11
Abhitesh Debnath | Master of Science in Machine Learning & AI | upGrad Testimonial | EP 08/365,https://www.youtube.com/watch?v=2rY5pdIgeHg,72,2:14
Generative AI Tutorial for Beginners Part 1 | Generative AI Explained | AI Machine Learning Tutorial,https://www.youtube.com/watch?v=_wxLM6q7MBQ,525,20:51
Peyush Bansal & Ronnie Screwvala Mentors upGrad Learner - Mohit Singh | Shark Tank India S03,https://www.youtube.com/watch?v=R6ZwSgQ9-GA,572,2:37
Python Pandas Tutorial Part 2 | Typecasting In Pandas | Typecasting in Python | Python Tutorial,https://www.youtube.com/watch?v=kRXsErSo7Ag,212,17:31
Mohit Chopra | Digital Marketing from MICA | upGrad Testimonials | EP 10/365 Real Life Stories,https://www.youtube.com/watch?v=KKJIeowS2BA,48,1:51
Generative AI Tutorial for Beginners Part 2 | Prompt Engineering Tutorial | ChatGPT Tutorial,https://www.youtube.com/watch?v=21PnXiSN7i0,163,17:31
Meaning of Mentoring | upGrad,https://www.youtube.com/watch?v=aB8ptUSZ9g4,91,1:07
What is Clustering in Machine Learning? With Examples | Data Science Tutorial for Beginners | upGrad,https://www.youtube.com/watch?v=0UUKWn5MfiY,326,8:00
Feeling stuck in the same dead-end job? | #AageKiSocho with upGrad,https://www.youtube.com/watch?v=LtRZGymAUIE,"9,294",0:30
YouTube Ads Tutorial 2024: How to Create YT Ads From Scratch [Step-by-Step Guide] | upGrad,https://www.youtube.com/watch?v=NaguksC9byI,471,52:15:00
Corporate Bidaai | Promo | Shark Tank India S3 | Co Powered by upGrad | 22nd Jan 2024,https://www.youtube.com/watch?v=ZX7_BYwl6wc,745,1:52
What is Programmatic Advertising & How Does It Work in 2024? | Basic Concepts & Benefits | upGrad,https://www.youtube.com/watch?v=Lj0HsVSH2t0,269,57:00:00
"The CXO Show | Ep. 15 | Janesh Kumar, CHRO (FMCG), RPSG",https://www.youtube.com/watch?v=5hV12oGJL3M,127,12:28
"The CXO Show | Episode 3 | Snigdha Basu, Head L&D (Automotive & Farm Sector), Mahindra & Mahindra",https://www.youtube.com/watch?v=txcqCGs1yjw,167,48:59:00
Translating code with Chat GPT  | Chapter 07 | upGrad,https://www.youtube.com/watch?v=yAlxstsNko4,87,4:57:00
You could lose 26Cr over your career | upGrad,https://www.youtube.com/watch?v=IXCw8gEb0yw,214,1:24:00
Data generation with Chat GPT | Chapter 11 | upGrad,https://www.youtube.com/watch?v=YBjT72krl_I,84,5:43
"The CXO Show | Ep. 11 | Megha Goel, Chief Human Resources Officer, Godrej Properties",https://www.youtube.com/watch?v=h7eQRtlAOYA,207,5:46
Chat GPT Course Summary | upGrad,https://www.youtube.com/watch?v=-qM7RxqWSbQ,45,3:06
"The CXO Show | Episode 7 | Shweta Mohanty, Head Human Resources - India, SAP",https://www.youtube.com/watch?v=weQEcCama0Y,246,47:21:00
What’s in an Online MBA? | upGrad Originals,https://www.youtube.com/watch?v=bj_8xoPAVlc,"2,885",9:01
What is Generative AI? - A Complete Breakdown | upGrad,https://www.youtube.com/watch?v=dZ0UQvbPuXk,662,10:12:00
"The CXO Show | Ep. 12 | Saurabh Wadhwa, Exec VP and Head Organization Learning, Kotak Mahindra Bank",https://www.youtube.com/watch?v=6F9MpiCLkKA,158,10:54
Ritesh Agarwal Mentors upGrad Learner - Kushagra Saxena | Shark Tank India S03 x upGrad,https://www.youtube.com/watch?v=bNP3iD5yuNg,"1,235",1:00
#upGradRealStories ft. Sworna Vidhya Mahadevan | Masters in Machine Learning and AI,https://www.youtube.com/watch?v=hXL8ksxnUSw,"1,619",0:50:00
"The CXO Show | Episode 9 | MVN Rao, Head of Corporate L&D, Larsen & Toubro",https://www.youtube.com/watch?v=Q0IhKIL-V2I,297,19:04
"Unlocking HR Excellence: Surakshit Khullar, PayU Payments | The CXO Show | Episode 05 | upGrad",https://www.youtube.com/watch?v=7IDhiL5giKU,241,15:39
Mouryan Bala | Data Science and Artificial Intelligence | upGrad Campus Testimonial | EP 02 of 365,https://www.youtube.com/watch?v=wiqFwqmiiP0,50,1:55:00
Implementing UI functions with Chat GPT | Chapter 13 | upGrad,https://www.youtube.com/watch?v=M9Itjfdkf1g,38,11:39:00
Generating code with Chat GPT | Chapter 02 | upGrad,https://www.youtube.com/watch?v=J-naGhPxGSc,106,5:33
Why Celebrate Independence Day? | upGrad,https://www.youtube.com/watch?v=e87yIQllkuY,247,1:22
Nikhil Kumar | MBA by Liverpool Business School | upGrad Testimonial | EP 07/365,https://www.youtube.com/watch?v=hyyNMWvPJCw,64,2:06
ER Diagram in DBMS | Entity Relationship Diagram Tutorial | ER Diagram Example & Solution,https://www.youtube.com/watch?v=LSBTl1Yo8YM&t=1s,28,7:17
